Fiscal Year,Service,Department Name,Division Name,Category,Description,Amount,Fund
2014,Education,Education,Cambridge Rindge and Latin ,Salaries and Wages,Temp Salaries - Professional,158067.00,General Fund
2014,Education,Education,High School Extension Program,Salaries and Wages,Temp Salaries - Professional,68173.00,General Fund
2014,Education,Education,High School Extension Program,Salaries and Wages,Temp Salaries - Professional,12938.00,General Fund
2014,Education,Education,Modern Language,Salaries and Wages,Temp Salaries - Professional,2500.00,General Fund
2014,Education,Education,Athletics,Salaries and Wages,Temp Salaries - Professional,336208.00,General Fund
2014,Education,Education,Educational Technology,Salaries and Wages,Temp Salaries - Professional,3000.00,General Fund
2014,Education,Education,Office of Special Education,Salaries and Wages,Temp Salaries - Professional,100000.00,General Fund
2014,Education,Education,Office of Special Education,Salaries and Wages,Temp Salaries - Professional,8000.00,General Fund
2014,Education,Education,Office of Special Education,Salaries and Wages,Temp Salaries - Professional,4000.00,General Fund
2014,Education,Education,Office of Special Education,Salaries and Wages,Temp Salaries - Professional,10500.00,General Fund
2014,Education,Education,Office of Special Education,Salaries and Wages,Temp Salaries - Professional,10000.00,General Fund
2014,Education,Education,Office of Special Education,Salaries and Wages,Temp Salaries - Professional,70200.00,General Fund
2014,Education,Education,Office of Special Education,Salaries and Wages,Temp Salaries - Professional,200000.00,General Fund
2014,Education,Education,Visual and Performing Arts,Salaries and Wages,Temp Salaries - Professional,23000.00,General Fund
2014,Education,Education,Library Media Services,Salaries and Wages,Temp Salaries - Professional,7613.00,General Fund
2014,Education,Education,Library Media Services,Salaries and Wages,Temp Salaries - Professional,1545.00,General Fund
2014,Education,Education,Library Media Services,Salaries and Wages,Temp Salaries - Professional,44472.00,General Fund
2014,Education,Education,Bilingual Education,Salaries and Wages,Temp Salaries - Professional,35800.00,General Fund
2014,Education,Education,Bilingual Education,Salaries and Wages,Temp Salaries - Professional,17062.00,General Fund
2014,Education,Education,Bilingual Education,Salaries and Wages,Temp Salaries - Professional,15545.00,General Fund
2014,Education,Education,Health and Physical Education,Salaries and Wages,Temp Salaries - Professional,35000.00,General Fund
2014,Education,Education,Health and Physical Education,Salaries and Wages,Temp Salaries - Professional,12860.00,General Fund
2014,Education,Education,Family Resource Center,Salaries and Wages,Temp Salaries - Professional,14876.00,General Fund
2014,Education,Education,"Elementary Education, Curriculum and Instruction",Salaries and Wages,Temp Salaries - Professional,22651.00,General Fund
2014,Education,Education,"Elementary Education, Curriculum and Instruction",Salaries and Wages,Temp Salaries - Professional,1.00,General Fund
2014,Education,Education,"Elementary Education, Curriculum and Instruction",Salaries and Wages,Temp Salaries - Professional,9000.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Salaries and Wages,Temp Salaries - Professional,8000.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Salaries and Wages,Temp Salaries - Professional,5000.00,General Fund
2014,Education,Education,Deputy Superintendent for Teaching and Learning,Salaries and Wages,Temp Salaries - Professional,40000.00,General Fund
2014,Education,Education,Deputy Superintendent for Teaching and Learning,Salaries and Wages,Temp Salaries - Professional,80000.00,General Fund
2014,Education,Education,Chief Operating Officer,Salaries and Wages,Temp Salaries - Professional,40000.00,General Fund
2014,Education,Education,School Committee,Salaries and Wages,Temp Salaries - Professional,7744.00,General Fund
2014,Education,Education,Health and Physical Education,Other Ordinary Maintenance,Telephone,800.00,General Fund
2014,Education,Education,Plant Operations and Maintenance,Other Ordinary Maintenance,Telephone,274250.00,General Fund
2014,Education,Education,Transportation,Other Ordinary Maintenance,Telephone,7500.00,General Fund
2014,Education,Education,Information Communication and Technology Services,Other Ordinary Maintenance,Telephone,23000.00,General Fund
2014,Education,Education,Fixed Assets/Systemwide Accounts,Salaries and Wages,Substitute Teachers - Daily,1113000.00,General Fund
2014,Education,Education,Health and Physical Education,Other Ordinary Maintenance,Postage,2900.00,General Fund
2014,Education,Education,Library Media Services,Travel and Training,Seminar/Conference/Training (Out of State),2026.00,General Fund
2014,Education,Education,Bilingual Education,Travel and Training,Seminar/Conference/Training (Out of State),1700.00,General Fund
2014,Education,Education,Affirmative Action/EEO,Travel and Training,Seminar/Conference/Training (Out of State),5078.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Travel and Training,Seminar/Conference/Training (Out of State),4200.00,General Fund
2014,Education,Education,Information Communication and Technology Services,Travel and Training,Seminar/Conference/Training (Out of State),3518.00,General Fund
2014,Education,Education,Superintendent of Schools,Travel and Training,Seminar/Conference/Training (Out of State),3839.00,General Fund
2014,Education,Education,Social Studies,Travel and Training,Seminar/Conference/Training (In State),11500.00,General Fund
2014,Education,Education,Affirmative Action/EEO,Travel and Training,Seminar/Conference/Training (In State),2644.00,General Fund
2014,Education,Education,Purchasing,Travel and Training,Seminar/Conference/Training (In State),113.00,General Fund
2014,Education,Education,Legal Counsel,Travel and Training,Seminar/Conference/Training (In State),3471.00,General Fund
2014,Education,Education,School Committee,Travel and Training,Seminar/Conference/Training (In State),4732.00,General Fund
2014,Education,Education,Health and Physical Education,Travel and Training,Seminar/Conference/Training (In City),22900.00,General Fund
2014,Education,Education,Legal Counsel,Travel and Training,Seminar/Conference/Training (In City),500.00,General Fund
2014,Education,Education,Information Communication and Technology Services,Travel and Training,Seminar/Conference/Training (In City),2000.00,General Fund
2014,Education,Education,Chief Financial Officer,Travel and Training,Seminar/Conference/Training (In City),575.00,General Fund
2014,Education,Education,Plant Operations and Maintenance,Other Ordinary Maintenance,Security Services,79831.00,General Fund
2014,Education,Education,Rindge Avenue Upper School,Other Ordinary Maintenance,Reproduction and Printing,13000.00,General Fund
2014,Education,Education,Cambridge Street Upper School,Other Ordinary Maintenance,Reproduction and Printing,13000.00,General Fund
2014,Education,Education,Putnam Avenue Upper School,Other Ordinary Maintenance,Reproduction and Printing,13000.00,General Fund
2014,Education,Education,Vassal Lane Upper School,Other Ordinary Maintenance,Reproduction and Printing,13000.00,General Fund
2014,Education,Education,Baldwin School,Other Ordinary Maintenance,Reproduction and Printing,14751.00,General Fund
2014,Education,Education,Haggerty School,Other Ordinary Maintenance,Reproduction and Printing,12041.00,General Fund
2014,Education,Education,Amigos School,Other Ordinary Maintenance,Reproduction and Printing,10943.00,General Fund
2014,Education,Education,King School,Other Ordinary Maintenance,Reproduction and Printing,10000.00,General Fund
2014,Education,Education,King Open School,Other Ordinary Maintenance,Reproduction and Printing,15000.00,General Fund
2014,Education,Education,Morse School,Other Ordinary Maintenance,Reproduction and Printing,20000.00,General Fund
2014,Education,Education,Peabody School,Other Ordinary Maintenance,Reproduction and Printing,19813.00,General Fund
2014,Education,Education,Tobin School,Other Ordinary Maintenance,Reproduction and Printing,11000.00,General Fund
2014,Education,Education,Fletcher/Maynard Academy,Other Ordinary Maintenance,Reproduction and Printing,6229.00,General Fund
2014,Education,Education,Graham and Parks School,Other Ordinary Maintenance,Reproduction and Printing,23847.00,General Fund
2014,Education,Education,Kennedy/Longfellow School,Other Ordinary Maintenance,Reproduction and Printing,17000.00,General Fund
2014,Education,Education,Cambridgeport School,Other Ordinary Maintenance,Reproduction and Printing,13912.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Other Ordinary Maintenance,Reproduction and Printing,475.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Other Ordinary Maintenance,Reproduction and Printing,90000.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Other Ordinary Maintenance,Reproduction and Printing,6980.00,General Fund
2014,Education,Education,High School Extension Program,Other Ordinary Maintenance,Reproduction and Printing,5006.00,General Fund
2014,Education,Education,English Language Arts,Other Ordinary Maintenance,Reproduction and Printing,600.00,General Fund
2014,Education,Education,Science ,Other Ordinary Maintenance,Reproduction and Printing,6900.00,General Fund
2014,Education,Education,Mathematics ,Other Ordinary Maintenance,Reproduction and Printing,1167.00,General Fund
2014,Education,Education,Office of Special Education,Other Ordinary Maintenance,Reproduction and Printing,11714.00,General Fund
2014,Education,Education,Office of Special Education,Other Ordinary Maintenance,Reproduction and Printing,200.00,General Fund
2014,Education,Education,Visual and Performing Arts,Other Ordinary Maintenance,Reproduction and Printing,6000.00,General Fund
2014,Education,Education,Visual and Performing Arts,Other Ordinary Maintenance,Reproduction and Printing,2000.00,General Fund
2014,Education,Education,Library Media Services,Other Ordinary Maintenance,Reproduction and Printing,2200.00,General Fund
2014,Education,Education,Library Media Services,Other Ordinary Maintenance,Reproduction and Printing,9000.00,General Fund
2014,Education,Education,Bilingual Education,Other Ordinary Maintenance,Reproduction and Printing,3000.00,General Fund
2014,Education,Education,Bilingual Education,Other Ordinary Maintenance,Reproduction and Printing,9000.00,General Fund
2014,Education,Education,Health and Physical Education,Other Ordinary Maintenance,Reproduction and Printing,4600.00,General Fund
2014,Education,Education,Family Resource Center,Other Ordinary Maintenance,Reproduction and Printing,10870.00,General Fund
2014,Education,Education,Safety and Security,Other Ordinary Maintenance,Reproduction and Printing,200.00,General Fund
2014,Education,Education,"Elementary Education, Curriculum and Instruction",Other Ordinary Maintenance,Reproduction and Printing,3300.00,General Fund
2014,Education,Education,"Elementary Education, Curriculum and Instruction",Other Ordinary Maintenance,Reproduction and Printing,1200.00,General Fund
2014,Education,Education,"Elementary Education, Curriculum and Instruction",Other Ordinary Maintenance,Reproduction and Printing,2050.00,General Fund
2014,Education,Education,"Elementary Education, Curriculum and Instruction",Other Ordinary Maintenance,Reproduction and Printing,8000.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Other Ordinary Maintenance,Reproduction and Printing,4000.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Other Ordinary Maintenance,Reproduction and Printing,3000.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Other Ordinary Maintenance,Reproduction and Printing,10000.00,General Fund
2014,Education,Education,Purchasing,Other Ordinary Maintenance,Reproduction and Printing,5150.00,General Fund
2014,Education,Education,Payroll,Other Ordinary Maintenance,Reproduction and Printing,2400.00,General Fund
2014,Education,Education,Plant Operations and Maintenance,Other Ordinary Maintenance,Reproduction and Printing,3430.00,General Fund
2014,Education,Education,Transportation,Other Ordinary Maintenance,Reproduction and Printing,4700.00,General Fund
2014,Education,Education,Legal Counsel,Other Ordinary Maintenance,Reproduction and Printing,5700.00,General Fund
2014,Education,Education,Accounts Payable,Other Ordinary Maintenance,Reproduction and Printing,1800.00,General Fund
2014,Education,Education,Accounts Payable,Other Ordinary Maintenance,Reproduction and Printing,1200.00,General Fund
